   H I           ,	3970.078
  Si I  	,	6782.210
  Si I  	,	6795.790
  Si I  	,	6843.160
  Si I  	,	6848.570
  Si I  	,	6876.400
  Si I  	,	6953.060
  Si I  	,	6976.520
  Si I  	,	6992.880
  Si I  	,	7003.570
  Si I  	,	7005.880
  Si I  	,	7012.610
  Si I  	,	7016.740
  Si I  	,	7017.280
  Si I  	,	7017.650
  Si I  	,	7019.100
  Si I  	,	7026.620
  Si I  	,	7034.900
  Si I  	,	7054.980
  Si I  	,	7055.930
  Si I  	,	7097.120
  Si I  	,	7164.690
  Si I  	,	7165.080
  Si I  	,	7165.550
  Si I  	,	7193.900
  Si I  	,	7208.210
  Si I  	,	7218.470
  Si I  	,	7226.210
  Si I  	,	7229.490
  Si I  	,	7235.330
  Si I  	,	7235.820
  Si I  	,	7242.230
  Si I  	,	7250.140
  Si I  	,	7250.620
  Si I  	,	7275.290
  Si I  	,	7282.810
  Si I  	,	7289.170
  Si I  	,	7345.220
  Si I  	,	7373.000
  Si I  	,	7374.300
  Si I  	,	7375.250
  Si I  	,	7395.520
  Si I  	,	7405.770
  Si I  	,	7409.080
  Si I  	,	7415.350
  Si I  	,	7415.950
  Si I  	,	7423.500
  Si I  	,	7424.600
  Si I  	,	7455.360
  Si I  	,	7482.190
  Si I  	,	7491.070
  Si I  	,	7504.930
  Si I  	,	7531.760
  Si I  	,	7557.690
  Si I  	,	7558.140
  Si I  	,	7569.550
  Si I  	,	7578.790
  Si I  	,	7669.710
  Si I  	,	7680.270
  Si I  	,	7688.390
  Si I  	,	7689.020
  Si I  	,	7695.620
  Si I  	,	7742.720
  Si I  	,	7760.630
  Si I  	,	7798.840
  Si I  	,	7799.180
  Si I  	,	7800.010
  Si I  	,	7833.020
  Si I  	,	7842.980
  Si I  	,	7849.970
  Si I  	,	7912.380
  Si I  	,	7913.430
  Si I  	,	7918.390
  Si I  	,	7925.850
  Si I  	,	7932.350
  Si I  	,	7944.000
  Si I  	,	7970.310
  Si I  	,	7975.580
  Si I  	,	8006.460
  Si I  	,	8009.380
  Si I  	,	8026.950
  Si I  	,	8035.620
  Si I  	,	8046.800
  Si I  	,	8049.370
  Si I  	,	8049.600
  Si I  	,	8069.720
  Si I  	,	8071.280
  Si I  	,	8073.030
  Si I  	,	8093.240
  Si I  	,	8154.870
  Si I  	,	8171.290
  Si I  	,	8215.150
  Si I  	,	8230.640
  Si I  	,	8259.920
  Si I  	,	8294.680
  Si I  	,	8306.710
  Si I  	,	8317.390
  Si I  	,	8338.330
  Si I  	,	8443.980
  Si I  	,	8461.490
  Si I  	,	8492.080
  Si I  	,	8501.550
  Si I  	,	8502.220
  Si I  	,	8510.240
  Si I  	,	8536.160
  Si I  	,	8547.840
  Si I  	,	8550.350
  Si I  	,	8556.780
  Si I  	,	8570.760
  Si I  	,	8571.310
  Si I  	,	8579.100
  Si I  	,	8595.960
  Si I  	,	8597.040
  Si I  	,	8606.010
  Si I  	,	8646.360
  Si I  	,	8648.470
  Si I  	,	8667.380
  Si I  	,	8680.080
  Si I  	,	8686.350
  Si I  	,	8687.460
  Si I  	,	8728.010
  Si I  	,	8728.600
  Si I  	,	8742.450
  Si I  	,	8751.170
  Si I  	,	8752.010
  Si I  	,	8766.420
  Si I  	,	8780.740
  Si I  	,	8790.390
  Si I  	,	8792.950
  Si I  	,	8883.690
  Si I  	,	8892.730
  Si I  	,	8899.230
  Si I  	,	8925.290
  Si I  	,	8949.090
  Si I  	,	8967.720
  Si I  	,	8968.140
  Si I  	,	9008.510
  Si I  	,	9021.580
  Si I  	,	9043.820
  Si I  	,	9051.450
  Si I  	,	9058.410
  Si I  	,	9103.180
  Si I  	,	9252.260
  Si I  	,	9253.670
  Si II 	,	6347.100
  Si II 	,	6371.360
  S I   	,	4589.260
  S I   	,	4694.112
  S I   	,	4695.442
  S I   	,	4696.251
  S I   	,	6046.040
  S I   	,	6052.660
  S I   	,	6538.600
  S I   	,	6757.150
  S I   	,	7680.550
  S I   	,	7686.100
  S I   	,	7725.050
  S I   	,	8694.710
  S I   	,	9212.860
  S I   	,	9228.090
  S I   	,	9237.540
  K I   	,	4044.137
  K I   	,	4047.205
  K I   	,	5342.970
  K I   	,	5359.575
  K I   	,	5801.753
  K I   	,	6911.080
  K I   	,	6938.770
  K I   	,	7698.960
  Ca I  	,	3746.709
  Ca I  	,	3750.292
  Ca I  	,	3753.335
  Ca I  	,	3875.776
  Ca I  	,	3889.103
  Ca I  	,	3923.477
  Ca I  	,	3946.036
  Ca I  	,	3948.901
  Ca I  	,	3957.053
  Ca I  	,	3972.569
  Ca I  	,	3973.707
  Ca I  	,	4091.998
  Ca I  	,	4092.631
  Ca I  	,	4094.926
  Ca I  	,	4098.551
  Ca I  	,	4108.526
  Ca I  	,	4132.524
  Ca I  	,	4201.070
  Ca I  	,	4203.117
  Ca I  	,	4226.727
  Ca I  	,	4240.456
  Ca I  	,	4283.010
  Ca I  	,	4289.364
  Ca I  	,	4298.985
  Ca I  	,	4302.526
  Ca I  	,	4307.741
  Ca I  	,	4318.652
  Ca I  	,	4355.079
  Ca I  	,	4425.441
  Ca I  	,	4434.960
  Ca I  	,	4435.688
  Ca I  	,	4454.780
  Ca I  	,	4455.887
  Ca I  	,	4456.605
  Ca I  	,	4507.410
  Ca I  	,	4507.845
  Ca I  	,	4509.451
  Ca I  	,	4512.272
  Ca I  	,	4526.935
  Ca I  	,	4578.552
  Ca I  	,	4581.395
  Ca I  	,	4581.467
  Ca I  	,	4585.865
  Ca I  	,	4585.963
  Ca I  	,	4685.268
  Ca I  	,	4847.311
  Ca I  	,	4878.132
  Ca I  	,	5041.621
  Ca I  	,	5043.351
  Ca I  	,	5188.848
  Ca I  	,	5260.390
  Ca I  	,	5261.706
  Ca I  	,	5262.244
  Ca I  	,	5264.239
  Ca I  	,	5265.557
  Ca I  	,	5270.270
  Ca I  	,	5349.473
  Ca I  	,	5512.973
  Ca I  	,	5521.140
  Ca I  	,	5581.971
  Ca I  	,	5588.757
  Ca I  	,	5590.120
  Ca I  	,	5594.468
  Ca I  	,	5598.486
  Ca I  	,	5601.285
  Ca I  	,	5602.846
  Ca I  	,	5715.820
  Ca I  	,	5857.453
  Ca I  	,	5867.563
  Ca I  	,	6097.260
  Ca I  	,	6102.720
  Ca I  	,	6122.220
  Ca I  	,	6156.020
  Ca I  	,	6161.290
  Ca I  	,	6162.170
  Ca I  	,	6163.760
  Ca I  	,	6166.440
  Ca I  	,	6169.050
  Ca I  	,	6169.560
  Ca I  	,	6417.700
  Ca I  	,	6439.070
  Ca I  	,	6449.810
  Ca I  	,	6455.600
  Ca I  	,	6462.570
  Ca I  	,	6464.680
  Ca I  	,	6471.660
  Ca I  	,	6493.780
  Ca I  	,	6499.650
  Ca I  	,	6508.840
  Ca I  	,	6572.780
  Ca I  	,	6709.890
  Ca I  	,	6717.690
  Ca I  	,	6789.070
  Ca I  	,	6798.470
  Ca I  	,	7148.150
  Ca I  	,	7202.190
  Ca I  	,	7326.150
  Ca I  	,	8235.430
  Ca I  	,	8352.410
  Ca I  	,	8373.910
  Ca I  	,	8423.140
  Ca I  	,	8525.740
  Ca I  	,	8583.340
  Ca I  	,	8633.950
  Ca I  	,	8909.180
  Ca I  	,	8967.480
  Ca I  	,	9105.620
  Ca I  	,	9108.820
  Ca I  	,	9162.330
  Ca II 	,	3933.663
  Ca II 	,	3968.469
  Ca II 	,	5001.479
  Ca II 	,	6456.880
  Ca II 	,	7291.470
  Ca II 	,	7323.890
  Ca II 	,	8201.720
  Ca II 	,	8248.800
  Ca II 	,	8498.020
  Ca II 	,	8542.090
  Ca II 	,	8662.140
  Ca II 	,	8912.070
  Ca II 	,	8927.360
  Sc I  	,	3911.815
  Sc I  	,	3996.597
  Sc I  	,	4020.392
  Sc I  	,	4023.677
  Sc I  	,	4047.795
  Sc I  	,	4054.544
  Sc I  	,	4720.817
  Sc I  	,	4728.773
  Sc I  	,	4741.031
  Sc I  	,	4743.830
  Sc I  	,	4753.152
  Sc I  	,	4779.348
  Sc I  	,	4922.828
  Sc I  	,	4954.073
  Sc I  	,	5064.300
  Sc I  	,	5081.577
  Sc I  	,	5083.731
  Sc I  	,	5096.716
  Sc I  	,	5355.771
  Sc I  	,	5356.091
  Sc I  	,	5392.078
  Sc I  	,	5446.196
  Sc I  	,	5481.991
  Sc I  	,	5484.625
  Sc I  	,	5514.215
  Sc I  	,	5520.498
  Sc I  	,	5591.364
  Sc I  	,	5671.821
  Sc I  	,	5686.846
  Sc I  	,	5708.636
  Sc I  	,	5711.777
  Sc I  	,	5717.307
  Sc I  	,	5724.106
  Sc I  	,	6193.670
  Sc I  	,	6210.660
  Sc I  	,	6239.410
  Sc I  	,	6239.760
  Sc I  	,	6258.940
  Sc I  	,	6276.300
  Sc I  	,	6305.660
  Sc I  	,	6306.020
  Sc I  	,	6344.800
  Sc I  	,	6378.810
  Sc I  	,	6413.340
  Sc I  	,	6448.070
  Sc II 	,	3833.080
  Sc II 	,	3843.049
  Sc II 	,	4008.432
  Sc II 	,	4008.604
  Sc II 	,	4014.475
  Sc II 	,	4246.820
  Sc II 	,	4294.764
  Sc II 	,	4305.710
  Sc II 	,	4314.081
  Sc II 	,	4320.745
  Sc II 	,	4324.998
  Sc II 	,	4354.602
  Sc II 	,	4374.463
  Sc II 	,	4384.808
  Sc II 	,	4400.386
  Sc II 	,	4415.545
  Sc II 	,	4420.661
  Sc II 	,	4431.362
  Sc II 	,	4670.407
  Sc II 	,	4698.285
  Sc II 	,	4815.610
  Sc II 	,	5031.011
  Sc II 	,	5239.811
  Sc II 	,	5318.374
  Sc II 	,	5334.241
  Sc II 	,	5357.203
  Sc II 	,	5422.339
  Sc II 	,	5526.781
  Sc II 	,	5552.236
  Sc II 	,	5640.999
  Sc II 	,	5657.906
  Sc II 	,	5658.360
  Sc II 	,	5667.166
  Sc II 	,	5669.055
  Sc II 	,	5684.214
  Sc II 	,	6245.640
  Sc II 	,	6279.750
  Sc II 	,	6300.700
  Sc II 	,	6309.920
  Sc II 	,	6320.840
  Sc II 	,	6604.600
  Ti I  	,	3729.806
  Ti I  	,	3738.992
  Ti I  	,	3741.060
  Ti I  	,	3752.859
  Ti I  	,	3753.634
  Ti I  	,	3766.442
  Ti I  	,	3771.651
  Ti I  	,	3786.043
  Ti I  	,	3789.294
  Ti I  	,	3794.742
  Ti I  	,	3795.894
  Ti I  	,	3801.081
  Ti I  	,	3822.022
  Ti I  	,	3828.188
  Ti I  	,	3836.767
  Ti I  	,	3853.046
  Ti I  	,	3853.725
  Ti I  	,	3857.896
  Ti I  	,	3858.136
  Ti I  	,	3862.825
  Ti I  	,	3866.439
  Ti I  	,	3868.396
  Ti I  	,	3875.257
  Ti I  	,	3877.591
  Ti I  	,	3881.396
  Ti I  	,	3882.146
  Ti I  	,	3882.321
  Ti I  	,	3882.891
  Ti I  	,	3884.088
  Ti I  	,	3888.022
  Ti I  	,	3889.950
  Ti I  	,	3893.623
  Ti I  	,	3895.242
  Ti I  	,	3897.309
  Ti I  	,	3897.575
  Ti I  	,	3898.489
  Ti I  	,	3900.959
  Ti I  	,	3904.784
  Ti I  	,	3911.185
  Ti I  	,	3911.363
  Ti I  	,	3912.589
  Ti I  	,	3914.334
  Ti I  	,	3914.737
  Ti I  	,	3915.875
  Ti I  	,	3919.816
  Ti I  	,	3921.422
  Ti I  	,	3924.527
  Ti I  	,	3926.318
  Ti I  	,	3929.874
  Ti I  	,	3947.769
  Ti I  	,	3948.671
  Ti I  	,	3956.334
  Ti I  	,	3958.201
  Ti I  	,	3962.851
  Ti I  	,	3964.269
  Ti I  	,	3975.707
  Ti I  	,	3980.810
  Ti I  	,	3981.449
  Ti I  	,	3981.761
  Ti I  	,	3982.480
  Ti I  	,	3984.314
  Ti I  	,	3985.579
  Ti I  	,	3989.569
  Ti I  	,	3989.759
  Ti I  	,	3994.674
  Ti I  	,	3998.636
  Ti I  	,	3999.342
  Ti I  	,	4000.043
  Ti I  	,	4002.468
  Ti I  	,	4005.959
  Ti I  	,	4008.053
  Ti I  	,	4008.927
  Ti I  	,	4011.535
  Ti I  	,	4012.791
  Ti I  	,	4013.241
  Ti I  	,	4013.583
  Ti I  	,	4015.374
  Ti I  	,	4016.276
  Ti I  	,	4016.964
  Ti I  	,	4017.767
  Ti I  	,	4021.815
  Ti I  	,	4024.571
  Ti I  	,	4026.537
  Ti I  	,	4030.511
  Ti I  	,	4033.902
  Ti I  	,	4034.891
  Ti I  	,	4035.825
  Ti I  	,	4040.316
  Ti I  	,	4043.754
  Ti I  	,	4052.921
  Ti I  	,	4055.011
  Ti I  	,	4060.075
  Ti I  	,	4060.262
  Ti I  	,	4064.210
  Ti I  	,	4065.095
  Ti I  	,	4065.586
  Ti I  	,	4068.133
  Ti I  	,	4068.649
  Ti I  	,	4068.985
  Ti I  	,	4071.191
  Ti I  	,	4074.349
  Ti I  	,	4076.361
  Ti I  	,	4077.148
  Ti I  	,	4078.471
  Ti I  	,	4079.698
  Ti I  	,	4082.455
  Ti I  	,	4099.165
  Ti I  	,	4112.708
  Ti I  	,	4120.029
  Ti I  	,	4121.635
  Ti I  	,	4122.143
  Ti I  	,	4127.531
  Ti I  	,	4131.249
  Ti I  	,	4136.884
  Ti I  	,	4137.284
  Ti I  	,	4143.042
  Ti I  	,	4150.551
  Ti I  	,	4150.799
  Ti I  	,	4150.959
  Ti I  	,	4159.637
  Ti I  	,	4164.131
  Ti I  	,	4166.309
  Ti I  	,	4169.326
  Ti I  	,	4174.467
  Ti I  	,	4183.287
