32609.6726  3065.683758  2.119 Th I   P
32607.0535  3065.930013  2.547 Th II  P
32601.9279  3066.412051  2.461 Th II  P
32587.9284  3067.729409  3.348 Th II  P
32555.1709  3070.816328  3.021 Th II  P
32541.4093  3072.115012  3.225 Th II  P
32533.8883  3072.825235  2.772 Th II  P
32523.5297  3073.803950  2.089 XX 0   P
32510.2823  3075.056529  3.070 Th II  P
32501.9978  3075.840368  2.207 Th II  P
32495.9885  3076.409188  1.729 Th I   P
32486.1696  3077.339066  2.594 Th II  P
32482.1788  3077.717166  2.481 Th I   P
32479.9133  3077.931848  2.424 Th II  P
32459.2906  3079.887460  2.211 Th II  P
32455.8176  3080.217043  3.397 Th II  P
32437.2424  3081.981001  2.825 Th II  P
32431.7316  3082.504712  2.095 Th I   P
32400.5398  3085.472334  2.276 XX 0   P
32389.0522  3086.566720  2.446 XX 0   P
32317.4920  3093.401536  2.623 Ar II  W
32281.5986  3096.841171  1.849 XX 0   P
32269.7916  3097.974304  1.963 Th III P
32261.9547  3098.726877  2.049 Th I   P
32240.4149  3100.797215  2.367 Th II  P
32238.9486  3100.938252  3.055 Th II  P
32231.1369  3101.689840  2.355 Th II  P
32175.7823  3107.026136  2.906 Th II  P
32172.4623  3107.346774  1.825 Th II  P
32162.6295  3108.296793  3.496 Th II  P
32144.8001  3110.020904  3.056 Th II  P
32131.7849  3111.280689  1.902 Th I   P
32123.4389  3112.089063  2.088 Th II  P
32078.1890  3116.479185  2.696 Th II  P
32065.7929  3117.684010  2.821 Th II  P
32032.9480  3120.880842  2.577 Th I   P
32009.5922  3123.158077  2.342 XX 0   P
31996.9983  3124.387391  3.156 Th II  P
31988.5854  3125.209127  2.965 Th II  P
31979.9488  3126.053162  2.153 Th II  P
31968.1370  3127.208241  2.420 Th II  P
31939.8893  3129.974056  2.207 Th II  P
31902.7324  3133.619655  2.361 Th II  P
31894.5282  3134.425744  2.950 Th II  P
31892.5212  3134.623002  1.532 XX 0   P
31883.2597  3135.533583  1.442 XX 0   P
31876.3216  3136.216082  3.133 Th I   P
31861.9310  3137.632620  2.060 Ar II  N
31847.8777  3139.017198  2.693 Ar II  W
31835.1520  3140.272028  3.009 Th I   P
31819.1916  3141.847238  2.720 Th II  P
31809.1854  3142.835605  3.051 Th II  P
31780.8584  3145.636991  3.048 Th I   P
31776.7534  3146.043368  3.020 Th II  P
31762.5666  3147.448606  2.065 Th I   P
31726.5981  3151.017008  1.573 Th I   P
31704.4513  3153.218199  1.986 Th II  P
31678.2115  3155.830181  2.667 Th II  P
31672.4864  3156.400648  2.625 Th II  P
31661.3885  3157.507067  2.265 XX 0   P
31639.3430  3159.707222  2.296 XX 0   P
31628.1672  3160.823743  1.899 Th II  P
31619.5205  3161.688137  2.248 Th II  P
31616.1118  3162.029026  1.996 XX 0   P
31605.4578  3163.094967  2.342 XX 0   P
31599.2615  3163.715241  1.752 XX 0   P
31583.5307  3165.291051  1.843 Ar II  W
31543.2976  3169.328492  2.783 Th II  P
31539.9190  3169.668007  2.683 Ar II  W
31538.4396  3169.816692  2.559 XX 0   P
31523.9325  3171.275477  2.867 Th I   P
31521.6028  3171.509864  2.061 XX 0   P
31515.6275  3172.111202  2.518 XX 0   P
31502.5641  3173.426654  3.073 Th I   P
31496.6841  3174.019111  1.770 Th I   P
31494.8462  3174.204340  2.863 Th II  P
31479.7585  3175.725737  3.162 Th II  P
31475.3844  3176.167080  2.423 Th I   P
31454.8235  3178.243304  3.169 Th I   P
31446.8599  3179.048191  3.278 Th II  P
31435.5326  3180.193754  3.821 Th II  P
31427.1987  3181.037112  2.443 Ar II  W
31425.6954  3181.189288  2.607 Th II  P
31413.6864  3182.405455  2.309 Th II  P
31411.3465  3182.642528  2.441 Th II  P
31395.2254  3184.276840  2.059 Th I   P
31391.8922  3184.614959  2.016 Th II  P
31388.5982  3184.949173  3.038 Th II  P
31376.5549  3186.171701  1.433 Ar II  W
31330.1002  3190.896169  1.465 Th I   P
31328.1666  3191.093121  2.582 Th II  P
31323.0266  3191.616786  1.807 XX 0   P
31307.8914  3193.159769  2.308 Th II  P
31301.8019  3193.780994  2.217 Th I   P
31286.7854  3195.313946  2.193 Th II  P
31283.1123  3195.689137  3.134 Th I   P
31258.2688  3198.229104  2.648 Th II  P
31198.8454  3204.320885  2.333 Ar II  W
31189.4249  3205.288757  2.146 Th II  P
31167.1364  3207.581032  1.503 Ar II  W
31165.1789  3207.782509  2.309 Th II  P
31146.0738  3209.750241  2.152 XX 0   P
31140.6547  3210.308825  2.894 Th II  P
31136.1068  3210.777756  2.012 Th I   P
31132.0679  3211.194319  2.977 Th I   P
31119.2400  3212.518078  1.643 Ar II  W
31104.1694  3214.074664  2.796 Th I   P
31075.9064  3216.997913  1.885 Th I   P
31043.5522  3220.350851  2.739 Th II  P
31023.8324  3222.397889  1.703 Ar II  W
30994.8511  3225.411053  3.023 Th II  P
30988.0497  3226.119007  2.535 Th II  P
30975.0744  3227.470455  2.094 XX 0   P
30960.3104  3229.009593  3.280 Th II  P
30942.5029  3230.867963  2.790 Th II  P
30928.7355  3232.306180  3.124 Th I   P
30896.6079  3235.667388  2.552 XX 0   P
30894.9599  3235.839985  2.861 XX 0   P
30881.6724  3237.232332  2.404 XX 0   P
30873.2476  3238.115747  3.600 Th II  P
30865.4454  3238.934310  2.765 Th I   P
30846.2777  3240.947040  1.737 XX 0   P
30844.7463  3241.107950  2.904 Th II  P
30832.6551  3242.379017  2.620 XX 0   P
30816.8363  3244.043439  2.136 Th I   P
30812.9861  3244.448809  3.257 Th I   P
30798.3167  3245.994211  2.005 Th I   P
30770.8303  3248.893834  2.366 Th II  P
30742.2353  3251.915910  3.371 Th I   P
30732.3267  3252.964413  2.620 XX 0   P
30725.5315  3253.683861  2.687 Th I   P
30721.9109  3254.067323  2.579 Th I   P
30701.0937  3256.273854  3.273 Th II  P
30697.1198  3256.695406  1.450 XX 0   P
30692.7221  3257.162051  2.704 Th II  P
30674.8403  3259.060869  2.733 Th I   P
30673.1061  3259.245136  2.249 Th II  P
30644.2237  3262.317100  1.459 XX 0   P
30640.9238  3262.668454  3.254 Th II  P
30636.0945  3263.182781  2.428 Th I   P
30627.2832  3264.121613  2.272 Th II  P
30600.2770  3267.002454  2.706 Th II  P
30583.8483  3268.757445  1.666 XX 0   P
30571.2980  3270.099402  2.016 Th I   P
30557.7805  3271.546009  1.776 Th I   P
30553.2905  3272.026800  3.332 Th I   P
30524.9237  3275.067597  2.942 Th II  P
30523.1301  3275.260053  1.593 XX 0   P
30519.5585  3275.643359  1.603 Ar II  W
30509.5315  3276.719942  1.702 XX 0   P
30454.7284  3282.616574  2.920 XX 0   P
30427.8644  3285.514818  2.248 Th I   P
30417.9761  3286.582912  2.860 Th II  P
30406.8152  3287.789301  3.319 Th II  P
30403.3848  3288.160274  2.531 Th II  P
30380.8473  3290.599620  2.500 Th III P
30370.3277  3291.739449  3.408 Th II  P
30365.0507  3292.311520  1.623 XX 0   P
30347.2271  3294.245237  2.397 Th II  P
30318.4250  3297.374831  2.433 Th II  P
30314.2102  3297.833304  2.611 Th II  P
30255.4500  3304.238360  3.890 Th I   P
30228.0985  3307.228257  2.893 Ar II  W
30210.6737  3309.135852  2.360 Th II  P
30208.5778  3309.365450  3.230 Th I   P
30174.7973  3313.070388  2.090 Th I   P
30166.3822  3313.994620  1.869 Th II  P
30126.4254  3318.390131  2.024 Th I   P
30119.6824  3319.133055  1.942 Th I   P
30107.4982  3320.476319  2.786 Th I   P
30098.6649  3321.450839  3.237 Th II  P
30092.8441  3322.093322  2.615 Th I   P
30089.4241  3322.470927  1.816 Th II  P
30068.7744  3324.752706  3.300 Th II  P
30065.4463  3325.120752  3.718 Th II  P
30057.8076  3325.965805  1.683 XX 0   P
30053.2947  3326.465259  2.366 Th II  P
30046.7200  3327.193167  2.908 Th I   P
30042.0286  3327.712760  2.305 XX 0   P
30017.0950  3330.477007  3.752 Th I   P
30005.8394  3331.726357  1.788 XX 0   P
29993.2128  3333.128998  3.415 Th I   P
29990.9264  3333.383112  1.723 Th II  P
29979.9452  3334.604120  3.325 Th II  P
29974.2366  3335.239216  2.215 Th I   P
29972.1251  3335.474182  1.540 XX 0   P
29962.2794  3336.570273  1.548 XX 0   P
29950.6096  3337.870357  3.291 Th II  P
29944.0819  3338.598026  2.301 XX 0   P
29918.9828  3341.398872  2.209 XX 0   P
29915.9230  3341.740642  1.910 Ar II  N
29899.1234  3343.618348  2.711 Th II  P
29897.3836  3343.812927  1.934 Th II  P
29872.8784  3346.555999  2.639 Th II  P
29863.7639  3347.577410  2.127 Th II  P
29848.1424  3349.329470  2.171 XX 0   P
29833.9412  3350.923835  2.903 Ar II  W
29831.2280  3351.228617  3.617 Th II  P
29824.0422  3352.036089  1.773 XX 0   P
29807.0374  3353.948473  2.369 Th II  P
29804.9835  3354.179605  3.019 Th II  P
29796.7530  3355.106131  2.749 Th I   P
29795.3980  3355.258716  2.503 Th II  P
29779.4280  3357.058119  2.028 Th II  P
29777.8576  3357.235167  2.063 Th II  P
29750.0478  3360.373550  2.477 Th II  P
29729.6761  3362.676256  2.540 Th II  P
29700.5071  3365.978862  1.476 XX 0   P
29686.3666  3367.582229  2.781 Th I   P
29651.9493  3371.491139  1.869 Th II  P
29631.2670  3373.844479  1.760 Ar II  N
29621.3426  3374.974894  3.399 Th I   P
29589.7942  3378.573379  3.145 Th II  P
29587.7771  3378.803715  2.193 Th II  P
29585.2700  3379.090049  2.014 Th II  P
29572.3165  3380.570232  2.358 Ni I   P
29569.7860  3380.859541  3.114 Th I   P
29545.9588  3383.586106  1.900 Th I   P
29528.9807  3385.531607  3.031 Th II  P
29520.5312  3386.500660  2.986 Th II  P
29508.1594  3387.920553  2.653 Th I   P
29493.1867  3389.640541  3.155 Th II  P
29486.8576  3390.368122  2.730 XX 0   P
29472.3683  3392.034957  3.939 Th II  P
29460.3264  3393.421494  2.232 Th I   P
29455.3662  3393.992954  2.218 Th I   P
29448.3899  3394.797014  2.601 Th II  P
29445.6545  3395.112389  1.974 Th II  P
29438.0783  3395.986186  1.968 XX 0   P
29431.6512  3396.727801  3.341 Th I   P
29424.8225  3397.516114  3.659 Th I   P
29415.9159  3398.544852  3.620 Th I   P
29385.8133  3402.026404  2.608 Th II  P
29377.3549  3403.005954  1.731 Th II  P
29355.3376  3405.558381  3.334 Th I   P
29344.3072  3406.838551  1.677 XX 0   P
29327.8540  3408.749883  3.391 Th I   P
29323.3806  3409.269918  2.586 Th II  P
29280.1926  3414.298714  1.636 Th I   P
29252.7846  3417.497794  2.900 Th I   P
29241.8521  3418.775515  3.032 Th II  P
29238.4502  3419.173303  2.890 Th II  P
29204.6633  3423.129072  2.379 XX 0   P
29199.7328  3423.707094  1.499 XX 0   P
29197.3230  3423.989681  3.755 Th I   P
29173.8671  3426.742667  1.508 XX 0   P
29163.2216  3427.993575  1.905 Th II  P
29154.6693  3428.999181  3.436 Th I   P
29151.3531  3429.389270  2.349 Th II  P
29145.0808  3430.127330  1.465 XX 0   P
29135.4267  3431.263949  1.937 XX 0   P
29115.9832  3433.555396  2.746 Ni I   P
29095.4624  3435.977129  3.664 Th II  P
29084.2051  3437.307095  3.910 Th I   P
29070.3082  3438.950331  3.047 Th II  P
29066.5182  3439.398751  3.071 Th I   P
29051.4221  3441.186038  1.455 XX 0   P
29049.9139  3441.364697  2.543 Th II  P
29048.5457  3441.526792  2.126 Th I   P
29017.4301  3445.217278  2.671 Th II  P
29012.9933  3445.744152  2.666 Th II  P
29006.2313  3446.547456  2.510 Th I   P
28986.0369  3448.948718  2.262 Th I   P
28983.1936  3449.287076  2.471 Th II  P
28969.2486  3450.947518  2.175 Th II  P
28962.9135  3451.702372  3.215 Th I   P
28954.6955  3452.682073  2.740 Th II  P
28942.8520  3454.094963  2.673 Ar II  W
28932.9877  3455.272624  1.847 Th II  P
28923.2017  3456.441731  2.069 Th II  P
28914.9012  3457.433993  1.889 XX 0   P
28908.9869  3458.141342  2.015 XX 0   P
28906.3347  3458.458644  2.908 Ni I   P
28884.9540  3461.018679  3.841 Th I   P
28883.2969  3461.217251  3.688 Th I   P
28879.6657  3461.652462  3.337 Ni I   P
28869.6740  3462.850565  3.102 Th II  P
