 line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A]   air_model_wl[A]   vac_model_wl[A]   air_resid[A]   vac_resid[A] 
    64              3                  67           3753.618485     9045.353161     9047.836127     9045.353731       9047.836690      -0.000570      -0.000563
    65              3                  67           3893.834707     9035.919111     9038.399523     9035.916470       9038.396879       0.002641       0.002644
    66              4                  68            135.533761     9090.818586     9093.313859     9090.817927       9093.313194       0.000659       0.000665
    67              4                  68            557.483096     9075.393921     9077.885049     9075.396016       9077.887118      -0.002095      -0.002069
    68              4                  68            747.226222     9068.024773     9070.513876     9068.022796       9070.511898       0.001977       0.001978
    69              4                  68            795.165655     9066.111421     9068.600005     9066.117230       9068.605816      -0.005809      -0.005811
    70              4                  68            848.948936     9063.959977     9066.447979     9063.958822       9066.446823       0.001155       0.001156
    71              4                  68            883.443333     9062.562998     9065.050622     9062.563044       9065.050667      -0.000046      -0.000045
    72              4                  68            928.003404     9060.746633     9063.233765     9060.746679       9063.233809      -0.000046      -0.000044
    73              4                  68           1225.112212     9048.250039     9050.733789     9048.249823       9050.733570       0.000216       0.000219
    74              4                  68           1291.700177     9045.353161     9047.836127     9045.356061       9047.839025      -0.002900      -0.002898
    75              4                  68           1410.245135     9040.122853     9042.604402     9040.119143       9042.600690       0.003710       0.003712
    76              4                  68           1459.762732     9037.893765     9040.374711     9037.899124       9040.380071      -0.005359      -0.005360
    77              4                  68           1503.626453     9035.919111     9038.399523     9035.916511       9038.396921       0.002600       0.002602
    78              4                  68           1593.172315     9031.819313     9034.298615     9031.822012       9034.301314      -0.002699      -0.002699
    79              4                  68           1894.134818     9017.591428     9020.066880     9017.592591       9020.068042      -0.001163      -0.001162
    80              4                  68           1914.767399     9016.590249     9019.065429     9016.590418       9019.065597      -0.000169      -0.000168
    81              4                  68           1997.780106     9012.526249     9015.000329     9012.523366       9014.997445       0.002883       0.002884
    82              4                  68           2079.645327     9008.456738     9010.929717     9008.457464       9010.930442      -0.000726      -0.000725
    83              4                  68           2326.501352     8995.862715     8998.332285     8995.862033       8998.331602       0.000682       0.000683
    84              4                  68           2339.120103     8995.189197     8997.658584     8995.204507       8997.673898      -0.015310      -0.015314
    85              4                  68           2421.038667     8990.893469     8993.361694     8990.903215       8993.371442      -0.009746      -0.009748
    86              4                  68           2501.514137     8986.616221     8989.083289     8986.622025       8989.089093      -0.005804      -0.005804
    87              4                  68           2780.131728     8971.363979     8973.826918     8971.364950       8973.827891      -0.000971      -0.000973
    88              4                  68           2806.842262     8969.866623     8972.329157     8969.866120       8972.328655       0.000503       0.000502
    89              4                  68           2823.150095     8968.948108     8971.410394     8968.947859       8971.410146       0.000249       0.000248
    90              4                  68           2846.310096     8967.640269     8970.102201     8967.639624       8970.101557       0.000645       0.000644
    91              4                  68           3014.551215     8957.985934     8960.445252     8957.988482       8960.447803      -0.002548      -0.002551
    92              4                  68           3051.287247     8955.846664     8958.305404     8955.846085       8958.304826       0.000579       0.000578
    93              4                  68           3165.173430     8949.122626     8951.579546     8949.122964       8951.579885      -0.000338      -0.000339
    94              4                  68           3289.097827     8941.660762     8944.115663     8941.664897       8944.119797      -0.004135      -0.004134
    95              4                  68           3854.626870     8905.656330     8908.101486     8905.659118       8908.104270      -0.002788      -0.002784
    96              5                  69            225.848700     8955.846664     8958.305404     8955.849914       8958.308661      -0.003250      -0.003257
    97              5                  69            413.640635     8949.122626     8951.579546     8949.123741       8951.580668      -0.001115      -0.001122
    98              5                  69            959.563092     8928.092415     8930.543643     8928.087693       8930.538917       0.004722       0.004726
    99              5                  69           1368.819417     8910.856536     8913.303100     8910.857207       8913.303768      -0.000671      -0.000668
   100              5                  69           1486.679195     8905.656330     8908.101486     8905.657894       8908.103049      -0.001564      -0.001563
   101              5                  69           1627.570012     8899.298381     8901.741817     8899.301281       8901.744717      -0.002900      -0.002900
   102              5                  69           1752.333331     8893.539678     8895.981556     8893.542709       8895.984587      -0.003031      -0.003031
   103              5                  69           1764.287469     8892.986447     8895.428175     8892.984524       8895.426250       0.001923       0.001925
   104              5                  69           1844.858595     8889.193845     8891.634547     8889.192854       8891.633554       0.000991       0.000993
   105              5                  69           2132.560938     8875.232328     8877.669251     8875.230462       8877.667383       0.001866       0.001868
   106              5                  69           2141.231571     8874.797576     8877.234382     8874.799301       8877.236106      -0.001725      -0.001724
   107              5                  69           2260.004144     8868.833307     8871.268499     8868.831305       8871.266495       0.002002       0.002004
   108              5                  69           2450.466339     8859.017994     8861.450530     8859.017756       8861.450290       0.000238       0.000240
   109              5                  69           2528.572049     8854.907859     8857.339283     8854.905390       8857.336812       0.002469       0.002471
   110              5                  69           2568.463682     8852.791584     8855.222435     8852.785042       8855.215890       0.006542       0.006545
   111              5                  69           2633.133569     8849.315089     8851.745000     8849.318682       8851.748593      -0.003593      -0.003593
   112              5                  69           2782.361674     8841.183227     8843.610937     8841.181389       8843.609099       0.001838       0.001838
   113              5                  69           2987.412731     8829.693786     8832.118387     8829.677567       8832.102165       0.016219       0.016222
   114              5                  69           3193.203018     8817.742996     8820.164363     8817.744283       8820.165650      -0.001287      -0.001287
   115              5                  69           3219.755552     8816.172780     8818.593723     8816.175478       8818.596420      -0.002698      -0.002697
   116              5                  69           3318.957491     8810.253946     8812.673287     8810.254266       8812.673604      -0.000320      -0.000317
   117              5                  69           3412.379770     8804.589321     8807.007130     8804.590207       8807.008010      -0.000886      -0.000880
   118              5                  69           3501.796879     8799.086895     8801.503184     8799.087814       8801.504126      -0.000919      -0.000942
   119              5                  69           3731.877108     8784.555745     8786.968104     8784.556214       8786.968593      -0.000469      -0.000489
   120              5                  69           3869.943275     8775.573210     8777.983168     8775.572544       8777.982499       0.000666       0.000669
   121              5                  69           3911.863231     8772.805163     8775.214372     8772.805239       8775.214449      -0.000076      -0.000077
   122              5                  69           3926.112623     8771.860292     8774.269245     8771.860355       8774.269311      -0.000063      -0.000066
   123              6                  70            509.172985     8817.742996     8820.164363     8817.742462       8820.163831       0.000534       0.000532
   124              6                  70            551.791175     8816.172780     8818.593723     8816.172836       8818.593780      -0.000056      -0.000057
   125              6                  70            709.408815     8810.253946     8812.673287     8810.253036       8812.672375       0.000910       0.000912
   126              6                  70            855.906415     8804.589321     8807.007130     8804.588318       8807.006123       0.001003       0.001007
   127              6                  70            994.416666     8799.086895     8801.503184     8799.087461       8801.503777      -0.000566      -0.000593
   128              6                  70           1016.973831     8798.171941     8800.588013     8798.178199       8800.594269      -0.006258      -0.006256
   129              6                  70           1344.283489     8784.555745     8786.968104     8784.557562       8786.969948      -0.001817      -0.001844
   130              6                  70           1387.133016     8782.715508     8785.127398     8782.714795       8785.126682       0.000713       0.000716
   131              6                  70           1550.266233     8775.573210     8777.983168     8775.571389       8777.981344       0.001821       0.001824
   132              6                  70           1612.251603     8772.805163     8775.214372     8772.803753       8775.212959       0.001410       0.001413
   133              6                  70           1633.229733     8771.860292     8774.269245     8771.860390       8774.269341      -0.000098      -0.000096
   134              6                  70           1745.701758     8766.744973     8769.152542     8766.744668       8769.152236       0.000305       0.000306
   135              6                  70           1854.847314     8761.685632     8764.091805     8761.686272       8764.092470      -0.000640      -0.000665
   136              6                  70           1881.282203     8760.449561     8762.855427     8760.447126       8762.852989       0.002435       0.002438
   137              6                  70           1928.049927     8758.243376     8760.648645     8758.241426       8760.646693       0.001950       0.001952
   138              6                  70           2016.795777     8754.009670     8756.413767     8754.008484       8756.412605       0.001186       0.001162
   139              6                  70           2116.695306     8749.169625     8751.572439     8749.168715       8751.571527       0.000910       0.000912
   140              6                  70           2139.989430     8748.030881     8750.433387     8748.028734       8750.431237       0.002147       0.002150
   141              6                  70           2305.945561     8739.781595     8742.181867     8739.780416       8742.180688       0.001179       0.001179
   142              6                  70           2419.230316     8734.023300     8736.422017     8734.021022       8736.419736       0.002278       0.002281
